Gene_id,SPORO_1,SPORO_2,SPORO_3,WALL_1,WALL_2,WALL_3
cgd3_160-RA-p1,0.0,549080.0,0.0,0.0,0.0,0.0
cgd3_1620-RA-p1,0.0,452340.0,48531.0,0.0,0.0,172970.0
cgd3_1630-RA-p1,0.0,34735000.0,977260.0,465900.0,0.0,0.0
cgd3_1650-RA-p1,14848000.0,285380000.0,10148000.0,15706000.0,30383000.0,49615000.0
cgd3_1690-RA-p1,4968700.0,152410000.0,9888200.0,35152000.0,31827000.0,43799000.0
cgd3_1700-RA-p1,58101.0,5594800.0,0.0,126710.0,0.0,1117700.0
cgd3_1710-RA-p1,8518500.0,282920000.0,13336000.0,48445000.0,143620000.0,43639000.0
cgd3_1730-RA-p1,85208.0,54089000.0,5628600.0,8487000.0,1095300.0,6299500.0
cgd3_1750-RA-p1,0.0,12150000.0,435630.0,0.0,0.0,0.0
cgd3_1760-RA-p1,4713200.0,189090000.0,15245000.0,10725000.0,22693000.0,12305000.0
cgd3_1770-RA-p1,2225500.0,248250000.0,17200000.0,12104000.0,16453000.0,22731000.0
cgd3_1780-RA-p1,0.0,365820.0,0.0,722870.0,325140.0,393690.0
cgd3_1790-RA-p1,636650.0,24382000.0,153780.0,386170.0,309700.0,1610200.0
cgd3_180-RA-p1,0.0,7195300.0,64289.0,905560.0,0.0,186860.0
cgd3_1810-RA-p1,1218000.0,13844000.0,597920.0,295320.0,0.0,2064400.0
cgd3_1820-RA-p1,1867300.0,93146000.0,2126900.0,2740900.0,2504000.0,8638100.0
cgd3_1830-RA-p1,0.0,0.0,0.0,9285.4,305510.0,0.0
cgd3_1840-RA-p1,0.0,1324500.0,0.0,0.0,0.0,271720.0
cgd3_1880-RA-p1,0.0,0.0,0.0,0.0,0.0,215380.0
cgd3_1900-RA-p1,2477700.0,74294000.0,2523300.0,3349900.0,6982200.0,23761000.0
cgd3_190-RA-p1,1654100.0,867740000.0,22115000.0,931080000.0,5876300000.0,1399700000.0
cgd3_1940-RA-p1,2646300.0,916270000.0,46526000.0,94906000.0,40933000.0,19084000.0
cgd3_1950-RA-p1,1343300.0,19146000.0,2486800.0,2360300.0,0.0,0.0
cgd3_1960-RA-p1,0.0,381460.0,246530.0,0.0,0.0,243270.0
cgd3_200-RA-p1,867340.0,10936000.0,462690.0,267280.0,631040.0,8935100.0
cgd3_2010-RA-p1,94894.0,1556000.0,17839.0,0.0,0.0,0.0
cgd3_2020-RA-p1,433950.0,108740000.0,3635500.0,2522200.0,1291400.0,18608000.0
cgd3_2030-RA-p1,6232100.0,38636000.0,3122900.0,4992400.0,112920.0,7937200.0
cgd3_2040-RA-p1,0.0,83998.0,0.0,0.0,0.0,51834.0
cgd3_2060-RA-p1,0.0,2600500.0,0.0,0.0,0.0,805270.0
cgd3_2090-RA-p1,186050000.0,2122900000.0,125760000.0,215500000.0,379780000.0,317180000.0
cgd3_210-RA-p1,0.0,127460.0,0.0,0.0,0.0,0.0
cgd3_2110-RA-p1,3683800.0,134420000.0,4565000.0,6157700.0,3470600.0,22349000.0
cgd3_2130-RA-p1,0.0,0.0,0.0,253410.0,6541200.0,383840.0
cgd3_2150-RA-p1,300810.0,17480000.0,562900.0,543920.0,0.0,1962600.0
cgd3_2170-RA-p1,2955100.0,185730000.0,16118000.0,7984500.0,6273500.0,8851300.0
